home_team_name,away_team_name,referee,home_team_corner_count,away_team_corner_count,total_corners,stadium_name
Tottenham Hotspur,Wolverhampton Wanderers,Stuart Attwell,6,7,13,Wembley Stadium (London)
Watford,Newcastle United,Roger East,3,6,9,Vicarage Road (Watford)
Liverpool,Arsenal,Michael Oliver,5,3,8,Anfield (Liverpool)
Crystal Palace,Chelsea,Craig Pawson,3,4,7,Selhurst Park (London)
Burnley,West Ham United,David Coote,5,5,10,Turf Moor (Burnley)
Southampton,Manchester City,Paul Tierney,3,8,11,St. Mary's Stadium (Southampton- Hampshire)
Manchester United,AFC Bournemouth,Lee Mason,4,5,9,Old Trafford (Manchester)
Everton,Leicester City,Martin Atkinson,6,5,11,Goodison Park (Liverpool)
Arsenal,Fulham,Graham Scott,8,3,11,Emirates Stadium (London)
Cardiff City,Tottenham Hotspur,Kevin Friend,5,3,8,Cardiff City Stadium (Cardiff (Caerdydd))
Chelsea,Southampton,Jonathan Moss,7,2,9,Stamford Bridge (London)
Huddersfield Town,Burnley,Mike Dean,5,2,7,John Smith's Stadium (Huddersfield- West Yorkshire)
West Ham United,Brighton & Hove Albion,Chris Kavanagh,1,5,6,London Stadium (London)
Wolverhampton Wanderers,Crystal Palace,Roger East,3,10,13,Molineux Stadium (Wolverhampton- West Midlands)
AFC Bournemouth,Watford,David Coote,4,2,6,Vitality Stadium (Bournemouth- Dorset)
Newcastle United,Manchester United,Andre Marriner,1,2,3,St. James' Park (Newcastle upon Tyne)
Manchester City,Liverpool,Anthony Taylor,2,1,3,Etihad Stadium (Manchester)
West Ham United,Arsenal,Jonathan Moss,7,3,10,London Stadium (London)
Brighton & Hove Albion,Liverpool,Kevin Friend,2,7,9,The American Express Community Stadium (Falmer- East Sussex)
Burnley,Fulham,Martin Atkinson,2,6,8,Turf Moor (Burnley)
Cardiff City,Huddersfield Town,Lee Mason,3,10,13,Cardiff City Stadium (Cardiff (Caerdydd))
Crystal Palace,Watford,Paul Tierney,7,7,14,Selhurst Park (London)
Leicester City,Southampton,Michael Oliver,10,3,13,King Power Stadium (Leicester- Leicestershire)
Chelsea,Newcastle United,Chris Kavanagh,8,5,13,Stamford Bridge (London)
Everton,AFC Bournemouth,Anthony Taylor,5,9,14,Goodison Park (Liverpool)
Tottenham Hotspur,Manchester United,Mike Dean,7,4,11,Wembley Stadium (London)
Manchester City,Wolverhampton Wanderers,Craig Pawson,12,1,13,Etihad Stadium (Manchester)
Wolverhampton Wanderers,Leicester City,Chris Kavanagh,5,9,14,Molineux Stadium (Wolverhampton- West Midlands)
AFC Bournemouth,West Ham United,Simon Hooper,2,3,5,Vitality Stadium (Bournemouth- Dorset)
Liverpool,Crystal Palace,Jonathan Moss,8,3,11,Anfield (Liverpool)
Manchester United,Brighton & Hove Albion,Paul Tierney,6,5,11,Old Trafford (Manchester)
Newcastle United,Cardiff City,Stuart Attwell,7,10,17,St. James' Park (Newcastle upon Tyne)
Southampton,Everton,Graham Scott,7,6,13,St. Mary's Stadium (Southampton- Hampshire)
Watford,Burnley,Michael Oliver,1,7,8,Vicarage Road (Watford)
Arsenal,Chelsea,Anthony Taylor,5,6,11,Emirates Stadium (London)
Huddersfield Town,Manchester City,Andre Marriner,1,4,5,John Smith's Stadium (Huddersfield- West Yorkshire)
Fulham,Tottenham Hotspur,Craig Pawson,7,10,17,Craven Cottage (London)
Arsenal,Cardiff City,Mike Dean,4,7,11,Emirates Stadium (London)
Fulham,Brighton & Hove Albion,Lee Probert,10,1,11,Craven Cottage (London)
Huddersfield Town,Everton,Stuart Attwell,3,4,7,John Smith's Stadium (Huddersfield- West Yorkshire)
